chain,hop,mean_cumulative,sd,mean_local
md→html→md,0,1.0000,0.0000,1.0000
md→html→md,1,0.9794,0.0268,0.9794
md→html→md,2,0.9999,0.0005,0.9839
md→docx→md,0,1.0000,0.0000,1.0000
md→docx→md,1,0.8484,0.0367,0.8484
md→docx→md,2,0.9952,0.0116,0.9595
md→pdf→md,0,1.0000,0.0000,1.0000
md→pdf→md,1,0.9761,0.0307,0.9761
md→pdf→md,2,0.7773,0.0690,0.8546
md→txt→md,0,1.0000,0.0000,1.0000
md→txt→md,1,0.9560,0.0318,0.9560
md→txt→md,2,0.5539,0.0645,0.9537
md→html→docx→md,0,1.0000,0.0000,1.0000
md→html→docx→md,1,0.9794,0.0268,0.9794
md→html→docx→md,2,0.8054,0.0255,0.8116
md→html→docx→md,3,0.9184,0.0300,0.9598
md→docx→pdf→md,0,1.0000,0.0000,1.0000
md→docx→pdf→md,1,0.8484,0.0367,0.8484
md→docx→pdf→md,2,0.9709,0.0231,0.9498
md→docx→pdf→md,3,0.8851,0.0469,0.9567
md→html→docx→pdf→md,0,1.0000,0.0000,1.0000
md→html→docx→pdf→md,1,0.9794,0.0268,0.9794
md→html→docx→pdf→md,2,0.8054,0.0255,0.8116
md→html→docx→pdf→md,3,0.9056,0.0304,0.9487
md→html→docx→pdf→md,4,0.8206,0.0486,0.9528
