id,level,truth_categories,pred_categories,score,sens_level,route,reason
clean-1,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
clean-2,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
clean-3,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
clean-4,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
clean-5,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
clean-6,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
clean-7,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
clean-8,low,,,0.000,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
contact-1,moderate,contact,contact,0.340,moderate,LOCAL,Moderate sensitivity (34%) and the local model is predicted adequate (84%). Kept on-device
contact-2,moderate,contact,contact,0.170,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
contact-3,moderate,contact,contact,0.480,moderate,LOCAL,Moderate sensitivity (48%) and the local model is predicted adequate (84%). Kept on-device
contact-4,moderate,contact,contact,0.340,moderate,LOCAL,Moderate sensitivity (34%) and the local model is predicted adequate (84%). Kept on-device
contact-5,moderate,contact,contact,0.340,moderate,LOCAL,Moderate sensitivity (34%) and the local model is predicted adequate (84%). Kept on-device
contact-6,moderate,contact,contact,0.340,moderate,LOCAL,Moderate sensitivity (34%) and the local model is predicted adequate (84%). Kept on-device
contact-7,moderate,contact,contact,0.340,moderate,LOCAL,Moderate sensitivity (34%) and the local model is predicted adequate (84%). Kept on-device
contact-8,moderate,contact,contact,0.340,moderate,LOCAL,Moderate sensitivity (34%) and the local model is predicted adequate (84%). Kept on-device
fin-1,high,financial,financial,0.730,high,LOCAL,High sensitivity (73%): Financial content detected (credit-card number). Processed on-devi
fin-2,high,financial,financial,0.650,high,LOCAL,High sensitivity (65%): Financial content detected (iban). Processed on-device only.
fin-3,moderate,financial,financial,0.270,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
fin-4,high,financial;contact,contact;financial,0.580,moderate,LOCAL,Moderate sensitivity (58%) and the local model is predicted adequate (84%). Kept on-device
fin-5,moderate,financial,financial,0.370,moderate,LOCAL,Moderate sensitivity (37%) and the local model is predicted adequate (84%). Kept on-device
fin-6,high,financial,financial,0.480,moderate,LOCAL,Moderate sensitivity (48%) and the local model is predicted adequate (84%). Kept on-device
fin-7,moderate,financial,financial,0.290,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
fin-8,high,financial,financial,0.710,high,LOCAL,"High sensitivity (71%): Financial content detected (credit-card number, iban). Processed o"
med-1,high,medical,medical,0.520,moderate,LOCAL,Moderate sensitivity (52%) and the local model is predicted adequate (84%). Kept on-device
med-2,high,medical,medical,0.420,moderate,LOCAL,Moderate sensitivity (42%) and the local model is predicted adequate (84%). Kept on-device
med-3,high,medical;identity,medical,0.330,moderate,LOCAL,Moderate sensitivity (33%) and the local model is predicted adequate (84%). Kept on-device
med-4,high,medical,medical,0.600,high,LOCAL,High sensitivity (60%): Medical content detected (medical terms). Processed on-device only
med-5,high,medical,medical,0.310,moderate,LOCAL,Moderate sensitivity (31%) and the local model is predicted adequate (84%). Kept on-device
med-6,high,medical,medical,0.420,moderate,LOCAL,Moderate sensitivity (42%) and the local model is predicted adequate (84%). Kept on-device
med-7,high,medical;contact,contact,0.170,low,LOCAL,Low sensitivity and low complexity — the fast on-device path is sufficient.
med-8,high,medical,medical,0.520,moderate,LOCAL,Moderate sensitivity (52%) and the local model is predicted adequate (84%). Kept on-device
legal-1,moderate,legal,legal,0.540,moderate,LOCAL,Moderate sensitivity (54%) and the local model is predicted adequate (84%). Kept on-device
legal-2,high,legal,legal,0.460,moderate,LOCAL,Moderate sensitivity (46%) and the local model is predicted adequate (84%). Kept on-device
legal-3,moderate,legal,legal,0.370,moderate,LOCAL,Moderate sensitivity (37%) and the local model is predicted adequate (84%). Kept on-device
